,Class (no hierarchy)
RUG,2937
Table Lamp,1564
Flush Mount,447
Pendant,441
Floor Lamp,307
Mini Table Lamp,291
Sconce,192
Vanity,183
Trash Can,113
LED Floor Lamp,88
Chandelier,62
CEILING FAN,59
Tiffany Floor Lamp,56
Neon Lighting,49
Storage Trunk,41
Garden Stool,41
Task Lamp,34
End Table Floor Lamp,32
Storage Bench,9
PADDING,9
Outdoor Sconce,7
Lamp Shade,6
LED Sconce,4
LED Task Lamp,4
Tiffany Table Lamp,3
LED Table Lamp,2
Coat Rack,2
LED Pendant,2
Bay Lighting,1
Outdoor Table Lamp,1
